metric,crossover_type,crossover_label,generation_zero_based,n_runs,mean,std,median,q25,q75,iqr,min,max,ci95_low,ci95_high
mean_pairwise_morphological_distance,homologous_gene_block_recombination,homologous recombination,39,10,0.01765190582959613,0.02534278888968321,0.0032836942498614,0.0,0.0353045109486963,0.0353045109486963,0.0,0.0685350994091337,-0.00047723321873687635,0.03578104487792914
mean_pairwise_morphological_distance,homologous_gene_block_recombination,homologous recombination,40,10,0.01590705168771728,0.024046478856075255,0.0032836942498614,0.0,0.025376617324104175,0.025376617324104175,0.0,0.0754340104766497,-0.0012947630258186606,0.033108866401253226
mean_pairwise_morphological_distance,homologous_gene_block_recombination,homologous recombination,41,10,0.015072311936871582,0.020305496745711048,0.0032836942498614,0.0,0.025376617324104175,0.025376617324104175,0.0,0.0573470268006993,0.0005466346110297015,0.02959798926271346
mean_pairwise_morphological_distance,homologous_gene_block_recombination,homologous recombination,42,10,0.010284874960382958,0.011123323040930654,0.00890401485735405,0.0,0.018312604280848948,0.018312604280848948,0.0,0.0264613836822928,0.0023277290059118497,0.018242020914854065
mean_pairwise_morphological_distance,homologous_gene_block_recombination,homologous recombination,43,10,0.00820670504507179,0.01055004912755831,0.0018565729077586,0.0,0.015826845650288725,0.015826845650288725,0.0,0.0264613836822928,0.0006596545435340441,0.015753755546609537
mean_pairwise_morphological_distance,homologous_gene_block_recombination,homologous recombination,44,10,0.00582162369340509,0.010441179248880722,0.0,0.0,0.0055090127385383,0.0055090127385383,0.0,0.0311950953736833,-0.0016475459885704246,0.013290793375380604
mean_pairwise_morphological_distance,homologous_gene_block_recombination,homologous recombination,45,10,0.0062712326743187205,0.01287794550079511,0.0,0.0,0.004580726284659,0.004580726284659,0.0,0.0394043309983368,-0.0029410945741559173,0.015483559922793358
mean_pairwise_morphological_distance,homologous_gene_block_recombination,homologous recombination,46,10,0.00717083714301904,0.013637550316890526,0.0,0.0,0.00600881389394445,0.00600881389394445,0.0,0.0426880252481982,-0.0025848786564442883,0.016926552942482367
mean_pairwise_morphological_distance,homologous_gene_block_recombination,homologous recombination,47,10,0.00870447146321368,0.014211520246261072,0.0,0.0,0.014427179285531798,0.014427179285531798,0.0,0.0421407428732213,-0.001461837689033978,0.01887078061546134
mean_pairwise_morphological_distance,homologous_gene_block_recombination,homologous recombination,48,10,0.00740164770681708,0.00998223949696748,0.003053817523106,0.0,0.010731251906711925,0.010731251906711925,0.0,0.027364118748845,0.00026078374578886263,0.014542511667845297
mean_pairwise_morphological_distance,homologous_gene_block_recombination,homologous recombination,49,10,0.00901422503961383,0.008830937313799254,0.00904788261505575,0.0,0.0168805344625206,0.0168805344625206,0.0,0.0215959760140651,0.0026969530461532767,0.015331497033074383
mean_pairwise_morphological_distance,promoter_aligned_cut_and_splice,cut and splice,0,10,0.26426146682287655,0.01868839622701639,0.27056384954034396,0.2651233701712159,0.2739825543160684,0.008859184144852483,0.224909103974465,0.2812572680230707,0.25089259352070237,0.2776303401250507
mean_pairwise_morphological_distance,promoter_aligned_cut_and_splice,cut and splice,1,10,0.26596758061186354,0.0253313059800479,0.27416174287830103,0.2552884275045374,0.2839534627832738,0.028665035278736428,0.212012923175364,0.2913220281382495,0.2478466559422386,0.2840885052814885
mean_pairwise_morphological_distance,promoter_aligned_cut_and_splice,cut and splice,2,10,0.2589190725185453,0.021202749656391365,0.2639535465610292,0.24884340580778164,0.2736431768418056,0.024799771034023976,0.209703592581568,0.2797549837224359,0.2437515391266622,0.2740866059104284
mean_pairwise_morphological_distance,promoter_aligned_cut_and_splice,cut and splice,3,10,0.2601765924371003,0.021068735047314015,0.2641752400222383,0.2553427127054423,0.27375866377471114,0.018415951069268854,0.2162104523211502,0.2881272319613523,0.24510492732131922,0.27524825755288135
mean_pairwise_morphological_distance,promoter_aligned_cut_and_splice,cut and splice,4,10,0.2576404064739902,0.024241879633612184,0.26771394051843633,0.24257263147003758,0.27536784415752136,0.03279521268748378,0.2047637453035843,0.281339333245066,0.24029881046481474,0.27498200248316573
mean_pairwise_morphological_distance,promoter_aligned_cut_and_splice,cut and splice,5,10,0.2605769987468517,0.02139801971938857,0.2670139095364295,0.2390667530715816,0.27227231501392846,0.03320556194234686,0.2314805677325496,0.2899763469213913,0.24526977756687776,0.27588421992682566
mean_pairwise_morphological_distance,promoter_aligned_cut_and_splice,cut and splice,6,10,0.2617575158813165,0.021109446072165184,0.26711313714801915,0.247690366563356,0.27230852769121877,0.024618161127862775,0.2212554947194161,0.29300879537665,0.24665672785275974,0.27685830390987326
mean_pairwise_morphological_distance,promoter_aligned_cut_and_splice,cut and splice,7,10,0.25956030022499743,0.017852956363684294,0.2580341584165525,0.24600509231040443,0.27129800523013636,0.02529291291973193,0.2345237245829464,0.2928010705071714,0.24678906459856595,0.2723315358514289
mean_pairwise_morphological_distance,promoter_aligned_cut_and_splice,cut and splice,8,10,0.2530701478960359,0.027638150990599346,0.2544001096598668,0.23240950582799508,0.2787978211485097,0.04638831532051463,0.2058757396715362,0.2860803725890843,0.2332990057171507,0.27284129007492103
mean_pairwise_morphological_distance,promoter_aligned_cut_and_splice,cut and splice,9,10,0.2493344249424493,0.027527945093134207,0.2505284451575201,0.2363231318734344,0.26548360184219777,0.02916046996876337,0.198104567755036,0.287830811399779,0.22964211931339254,0.2690267305715061
mean_pairwise_morphological_distance,promoter_aligned_cut_and_splice,cut and splice,10,10,0.24493704059020688,0.034692543661714766,0.2460710169826688,0.22461021633660852,0.2653421931939425,0.04073197685733396,0.1770073603727033,0.293989155180209,0.22011948989673807,0.2697545912836757
mean_pairwise_morphological_distance,promoter_aligned_cut_and_splice,cut and splice,11,10,0.24082681483045665,0.039182490084153074,0.24549186910550386,0.22311702435447545,0.27220782507211183,0.049090800717636385,0.1747811124642434,0.2918162231283712,0.21279734995633956,0.2688562797045737
mean_pairwise_morphological_distance,promoter_aligned_cut_and_splice,cut and splice,12,10,0.23140973447101415,0.04213327726924464,0.23775052854482054,0.19854754575814543,0.26696924748967865,0.06842170173153322,0.1674688736404255,0.2892569377706576,0.20126940360604548,0.26155006533598285
